movie_clean,anger,disgust,fear,joy,neutral,sadness,surprise,sentiment_score,dominant_emotion,dominant_strength
12 Angry Men,0.1295986567115919,0.08423255587166006,0.1671132008566267,0.018670554251664064,0.552278970791535,0.02112420453605327,0.026981841391799124,0.28339898586273193,neutral,0.552278970791535
12 Years a Slave,0.12090966169489548,0.2318600355880335,0.08558172306511551,0.012726283294614404,0.1721972653642297,0.36260572178289296,0.014119335031136871,0.20541491508483886,sadness,0.36260572178289296
12th Fail,0.05411470262333751,0.04974854877218604,0.023407004633918406,0.2815703003667295,0.5004644135013223,0.017464633146300913,0.07323038810864091,0.3605800688266754,neutral,0.5004644135013223
1917,0.06261504897847772,0.1351015542401001,0.12366379343438894,0.20285948214586824,0.28656344609335066,0.01489000238943845,0.17430667905136943,0.6092807531356812,neutral,0.28656344609335066
2001: A Space Odyssey,0.009419174378060481,0.04879603900057687,0.2506299403665418,0.15321842056106438,0.43423426151275635,0.02567731725602326,0.078024869594215,0.5834820704026655,neutral,0.43423426151275635
3 Idiots,0.10247802975354717,0.16164272862952203,0.03162580591160804,0.18540727036306634,0.29439403344877063,0.19236584266182036,0.03208628641441465,0.5917282640933991,neutral,0.29439403344877063
A Beautiful Mind,0.06180311161601408,0.11784440900241448,0.18397799139546062,0.16739077178168704,0.34915462419898674,0.06645225688010793,0.053376828277991575,0.5795401226390492,neutral,0.34915462419898674
A Clockwork Orange,0.07865244601006535,0.29633156648329034,0.19575599518562245,0.020914868837942115,0.3394113235514272,0.015402960749766366,0.05353081182957711,0.2854950265450911,neutral,0.3394113235514272
A Separation,0.08875751855190504,0.08146155907095155,0.0317673467268998,0.23623133891008116,0.3489495382051576,0.15121869764036752,0.061613984892822125,0.6520397067070007,neutral,0.3489495382051576
A Silent Voice: The Movie,0.06134876220021397,0.09605233035981656,0.012340337329078466,0.3524424184113741,0.3738833248615265,0.09132456295192241,0.01260827830992639,0.9995442211627961,neutral,0.3738833248615265
Alien,0.027296072337776423,0.0987363598542288,0.3705250391503796,0.05587182145100087,0.35403756331652403,0.008679976989515125,0.0848531666211784,0.20045396089553832,fear,0.3705250391503796
Aliens,0.08482014907058329,0.07671341691166163,0.3841084331506863,0.004557569161988795,0.2846928327344358,0.14147392576560378,0.023633668990805747,-0.10407046675682068,fear,0.3841084331506863
All About Eve,0.10701496979560364,0.07405891794372689,0.09700318945529447,0.18959453706206245,0.4887087403542616,0.015317129309881817,0.02830250923183154,0.8021719509905035,neutral,0.4887087403542616
Amadeus,0.03399578365497291,0.13288587126880885,0.1005767883732915,0.16623947555199264,0.2819118365645409,0.17985835745930673,0.10453189087565988,0.6029803633689881,neutral,0.2819118365645409
American Beauty,0.15232902081598612,0.046525631438602104,0.1753538200547072,0.056059489894488994,0.283103421584449,0.2229818839749152,0.06364674637602134,0.4693943966518749,neutral,0.283103421584449
American History X,0.11319595947861671,0.2090643672272563,0.16410789293745023,0.06227791582403535,0.26232114976102655,0.15483543056656013,0.03419728199316358,0.596619882366874,neutral,0.26232114976102655
Amélie,0.008775147027336061,0.024376038426999,0.15552470681723207,0.418996345216874,0.25054614041000606,0.031781681335996834,0.1099999323952943,0.8119380235671997,joy,0.418996345216874
Apocalypse Now,0.029847069347107954,0.2779111363078383,0.06967117383398792,0.08142696451184085,0.36611758037046954,0.11317909504710273,0.061846974602138456,0.1780384128743952,neutral,0.36611758037046954
Avengers: Endgame,0.032633295811882075,0.021780284227464686,0.017723964252085847,0.08218810868195513,0.613631513308395,0.1537121780724688,0.07833066743544558,0.6537441340359774,neutral,0.613631513308395
Avengers: Infinity War,0.023625669450583784,0.02667936037125235,0.10454920002005318,0.1231859656135467,0.58636014028029,0.06372393915345045,0.07187573586336592,0.5910130739212036,neutral,0.58636014028029
Back to the Future,0.12437095399945974,0.10630031196739186,0.04267638528042219,0.16313876627563415,0.5009701211344112,0.021979057441719553,0.040564393074336375,0.2341275323521007,neutral,0.5009701211344112
Barry Lyndon,0.046115749469026926,0.06051891413517296,0.047552852495573464,0.02830949886702001,0.4870717141777277,0.0944325590506196,0.23599869672907517,0.26082122325897217,neutral,0.4870717141777277
Batman Begins,0.020710577997802335,0.11039365044879643,0.3010040600678291,0.1208367644682188,0.25628954553129996,0.056482232281599536,0.1342831702945246,-0.06680962714281949,fear,0.3010040600678291
Before Sunrise,0.05629797335714102,0.04053924586623907,0.00885222190991044,0.14587731566280127,0.44178387634456157,0.04307148914085701,0.26357790348120036,0.7866352736949921,neutral,0.44178387634456157
Before Sunset,0.005590658099390566,0.03291823486797511,0.02713957098312676,0.20427416977472604,0.32204849142581227,0.3912241399055347,0.016804741881787776,0.998889821767807,sadness,0.3912241399055347
Ben-Hur,0.1767585273599252,0.18628543713130058,0.02990078383591026,0.17578046186827123,0.2853838879615068,0.12196780233643949,0.023923107283189894,0.07528445720672608,neutral,0.2853838879615068
Bicycle Thieves,0.00844464419324967,0.09545618596232751,0.018364786244505507,0.2096605506852608,0.3734888322651386,0.1787138564977795,0.11587115404704078,0.6807053956118497,neutral,0.3734888322651386
Blade Runner,0.04534625108353794,0.13717542001977562,0.03841004273854196,0.05370523855090141,0.514421958848834,0.11020385762676596,0.10073725190013647,0.6073176145553589,neutral,0.514421958848834
Braveheart,0.20358497030101716,0.05932755270041525,0.14526320775039495,0.1800977266044356,0.26373108171392234,0.08896362241357565,0.0590318602451589,0.59994757771492,neutral,0.26373108171392234
Capernaum,0.2571516756899655,0.08933527804911137,0.10420395778492093,0.08179104164009914,0.34024065239354967,0.0849402517080307,0.04233709151158109,0.16403477787971496,neutral,0.34024065239354967
Casablanca,0.011500347522087395,0.02333868104033172,0.010694729955866933,0.3254146406427026,0.525497418269515,0.06296908187214285,0.04058510530740023,0.7574974358081817,neutral,0.525497418269515
Casino,0.10913162026554346,0.06825629970990121,0.25176393585279583,0.10887429451104254,0.41531019415706394,0.017882512556388973,0.028781178337521852,-0.004446333646774292,neutral,0.41531019415706394
Catch Me If You Can,0.030221008592181735,0.026639880043350987,0.015842841860527795,0.5660212680490481,0.32257500228782493,0.00990498503152695,0.02879500011396077,0.5559520853890313,joy,0.5660212680490481
Children of Heaven,0.06967561539495364,0.05855251856846735,0.020705745735904203,0.5673824165016412,0.20783086912706494,0.052955896710045636,0.02289695180952549,0.9956245064735413,joy,0.5673824165016412
Chinatown,0.042724706185981634,0.07633837326429785,0.0723305479856208,0.07153962582815439,0.4501724820584059,0.18616072966251523,0.10073352851904929,0.779359620809555,neutral,0.4501724820584059
Cinema Paradiso,0.030901766604405235,0.09706094582692128,0.05273882655257529,0.12489860646680674,0.35807241567156534,0.2055626769169149,0.1307647522030906,0.42687417702241376,neutral,0.35807241567156534
Citizen Kane,0.027029518609527837,0.07573173889382319,0.18675437620417637,0.05373205471021885,0.4904844117435542,0.07209408274767073,0.09417382289062846,0.4162008762359619,neutral,0.4904844117435542
City Lights,0.015665149443190206,0.11955004945312711,0.1525261308362877,0.19662648731503973,0.37342068942433054,0.036505180135877294,0.10570632632483136,0.7364215850830078,neutral,0.37342068942433054
City of God,0.057886919832195745,0.107811778773215,0.324943751975132,0.09398337345654992,0.30818155797367747,0.005816005117429251,0.10137661346181465,0.9330433281985197,fear,0.324943751975132
Coco,0.017827420332469045,0.019569280091673136,0.098787028004881,0.3705302224028856,0.3806429786607623,0.024070234270766377,0.08857282099779695,0.7961147964000702,neutral,0.3806429786607623
Come and See,0.06888770693066446,0.29089158889837563,0.2114193472291597,0.06286100150530481,0.1991365828805349,0.1389451582958414,0.027858616001057355,0.0932968096299605,disgust,0.29089158889837563
Dangal,0.0873884855536744,0.019578968128189444,0.027757924812613056,0.3495631621219218,0.30814074780792,0.17962230036500842,0.027948419330641627,0.9945796728134155,joy,0.3495631621219218
Das Boot,0.01300341467722319,0.0442131788469851,0.2963841727701947,0.2889238940901123,0.18461192892864348,0.011036833701655268,0.1618265833472833,0.8028098583221436,fear,0.2963841727701947
Dead Poets Society,0.026329198270104825,0.05552255513612181,0.3136793002486229,0.10422575939446688,0.27718630619347095,0.1289154543308541,0.09414139157161117,0.5649802267551423,fear,0.3136793002486229
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,0.02680166502779519,0.05649693835188042,0.1674995441413061,0.39436229572377424,0.20486790483648126,0.11629916384646838,0.033672476949339565,0.9575943892652338,joy,0.39436229572377424
Demon Slayer: Kimetsu no Yaiba- The Movie - Infinity Castle,0.026499248617752033,0.026768489116379482,0.09837307697373697,0.34849885254251683,0.3716604154218327,0.031128522431985897,0.09707138179378076,0.9873228452422402,neutral,0.3716604154218327
Dial M for Murder,0.054668734590946275,0.2531304930082776,0.13778388815593312,0.05203072118985636,0.3618807571262799,0.0860557626213201,0.05444962814958258,-0.0930375185879794,neutral,0.3618807571262799
Die Hard,0.05874403533525765,0.0661119727184996,0.01421525358746294,0.18855762151069938,0.5639608806930483,0.03021984063088894,0.07819040468893945,0.4035387396812439,neutral,0.5639608806930483
Django Unchained,0.12809704155237836,0.25846577886576677,0.03290698380971497,0.0851397223093293,0.3887330771169879,0.05392358240417459,0.05273384801958772,-0.20223728635094382,neutral,0.3887330771169879
Double Indemnity,0.0738637898625298,0.13381767744960432,0.08978456660935824,0.12792831196830692,0.5277312780645761,0.02157684500244531,0.025297532069750807,0.46272304925051605,neutral,0.5277312780645761
Downfall,0.04648744910955429,0.19345415830612184,0.3786023355089128,0.013558859011391177,0.1297411324456334,0.13160477760247885,0.10655126413330436,0.5911982834339142,fear,0.3786023355089128
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,0.16620193791723895,0.08838372172745453,0.21127772174606269,0.14940632923654365,0.1060309572653337,0.2631737653123723,0.015525583728131924,0.3102643923325972,sadness,0.2631737653123723
Drishyam,0.048715535132214424,0.018792540091089903,0.1116920538013801,0.33252924904227255,0.3812173645943403,0.011861111689358949,0.09519213179592043,0.9998282790184021,neutral,0.3812173645943403
Dune: Part Two,0.04709463566541672,0.10450306924229319,0.03902806725818664,0.08777822204865515,0.638226352293383,0.0068298861257393255,0.07653976913372224,0.5837009440768849,neutral,0.638226352293383
Eternal Sunshine of the Spotless Mind,0.00785448209551925,0.010057943619110367,0.10000005752821876,0.3589934677054936,0.27267536360093136,0.1067313958086412,0.14368729191747578,0.4788584817539562,joy,0.3589934677054936
Fargo,0.015413267654366791,0.06642306501744315,0.016112970502581446,0.4367019067518413,0.3434603653848171,0.07875464926473796,0.04313375479541719,0.8165470123291015,joy,0.4367019067518413
Fight Club,0.05453854762017727,0.22118093725293875,0.24577535812277346,0.09110418045893312,0.3271631561219692,0.04535930147394538,0.014878515817690641,0.7904922246932984,neutral,0.3271631561219692
Finding Nemo,0.011876025279475884,0.0402051968796348,0.12621432457076895,0.357709192734381,0.31060507521033287,0.04985189224085347,0.10353828301991928,0.45025454326109454,joy,0.357709192734381
For a Few Dollars More,0.12223114953799681,0.08161557190628214,0.023599994675764305,0.09027499849484726,0.579170437021689,0.019685427912256935,0.083422417815944,-0.03132051771337336,neutral,0.579170437021689
Ford v Ferrari,0.015798114566132428,0.11686614705249668,0.007572577893733978,0.13328526726691053,0.6583626963198185,0.01580590009689331,0.052309314557351175,0.2153519868850708,neutral,0.6583626963198185
Forrest Gump,0.06629882158118892,0.10679303350943056,0.02227272821420973,0.2315171675079248,0.4448320007121021,0.0949473624244671,0.033338914096186105,0.7959841218861666,neutral,0.4448320007121021
Full Metal Jacket,0.01181636064906012,0.4029938559132544,0.07095287324310365,0.07469932895831087,0.31378710794855247,0.10170947000468997,0.02404101175488904,0.3926503983410922,disgust,0.4029938559132544
Gangs of Wasseypur,0.08903992152772844,0.15410940609872342,0.04647143092006445,0.2077666791388765,0.4404221471399069,0.012060351530089974,0.05013005472719669,0.9998405277729034,neutral,0.4404221471399069
Gladiator,0.0685523864813149,0.14341060754377394,0.11123573118820787,0.11093310486176051,0.5015371662564576,0.05686202479992062,0.007469001575373113,-0.0014636516571044922,neutral,0.5015371662564576
Gone Girl,0.01501007042825222,0.12988893754663877,0.17182684405706822,0.2667639196384698,0.3069930713623762,0.09329379219561815,0.016223367094062267,0.596002733707428,neutral,0.3069930713623762
Gone with the Wind,0.0252302327002822,0.13083841357464818,0.013397160092030059,0.08493518667422574,0.4236219665882262,0.15731870687820695,0.1646583526479927,0.43358703634955664,neutral,0.4236219665882262
Good Will Hunting,0.024179555888457053,0.016659108075228603,0.06527362623654137,0.17814885119018567,0.37924904096871614,0.1959044291341508,0.14058537939986723,0.5941495895385742,neutral,0.37924904096871614
Goodfellas,0.0341652313247323,0.27536894141230733,0.04008742803707719,0.16208621531841344,0.4205789488274604,0.05218729618936777,0.015525943133980036,0.7610410928726197,neutral,0.4205789488274604
Gran Torino,0.18921866135206072,0.11055120379896835,0.0703826961631421,0.12219251783099025,0.26771992789581417,0.16013268772512673,0.07980233968701214,0.5648710429668427,neutral,0.26771992789581417
