movie_clean,anger,disgust,fear,joy,neutral,sadness,surprise,sentiment_score,dominant_emotion,dominant_strength
12 Angry Men,0.04583113081753254,0.2195810528161625,0.009422600346927842,0.0031502684578299522,0.07655756920576096,0.08654448979844649,0.558912864420563,-0.3146794040997823,surprise,0.558912864420563
12 Years a Slave,0.032417480053845794,0.15865364044875604,0.057062072094413455,0.1919192455941811,0.11238323385477997,0.37227294031763447,0.07529140585684217,0.2914169728755951,sadness,0.37227294031763447
12th Fail,0.01954600975732319,0.011662161909043789,0.036929416813654824,0.46223850470851174,0.26571526676416396,0.09133261236711405,0.1125760190654546,0.7004543453454971,joy,0.46223850470851174
1917,0.009906548875733279,0.020482266042381524,0.05255555910407565,0.40634285389678554,0.1920585835527163,0.10036961891455576,0.21828458458767272,0.5364944845438003,joy,0.40634285389678554
2001: A Space Odyssey,0.03091618921898771,0.08547832255426328,0.09165678921272047,0.11706278468482197,0.3827876552939415,0.012201488856226206,0.27989676482975484,0.5782438337802887,neutral,0.3827876552939415
3 Idiots,0.09992411974817514,0.0583898978686193,0.007918752258410678,0.33076189014245755,0.3313603930640966,0.07475363847333938,0.09689130678307264,0.41460161805152895,neutral,0.3313603930640966
A Beautiful Mind,0.03833887220826,0.05816237531835213,0.06830168901069555,0.37663428976084107,0.2728744402527809,0.06677170227048919,0.11891662306152284,0.49996784031391145,joy,0.37663428976084107
A Clockwork Orange,0.0171140584978275,0.09719585324346554,0.12625971549423412,0.2903028283501044,0.20305980555713177,0.011006834014551714,0.2550608839490451,0.7256148308515549,joy,0.2903028283501044
A Separation,0.07965570934757124,0.0784045708773192,0.011224372676224448,0.32670830649440175,0.34021058229263873,0.02463132520788349,0.13916513697477056,0.40901718735694886,neutral,0.34021058229263873
A Silent Voice: The Movie,0.07469024245316784,0.07142309875537951,0.03538992205479493,0.08262629682819049,0.31362089794129133,0.05590032910307249,0.36634918426473934,-0.33177703619003296,surprise,0.36634918426473934
Alien,0.046547821670537816,0.14865095131099224,0.1341289393225452,0.12741272185812705,0.33064703703857956,0.032395324553363025,0.1802171944291331,0.23888235688209533,neutral,0.33064703703857956
Aliens,0.04283221098868286,0.13581012652310379,0.08546820885556586,0.05401922217981123,0.3538577881477335,0.08378318910870482,0.24422924887553296,0.18307802256415873,neutral,0.3538577881477335
